states,murder,attempt_to_murder,culpable_homicide,rape,kidnapping_abduction,dacoity,preparation_of_dacoity
GUJARAT,1124,756,57,841,2722,296,15
HARYANA,1106,783,65,1174,3082,172,81
HIMACHAL PRADESH,130,63,9,283,304,4,0
JAMMU & KASHMIR,156,484,18,331,860,6,0
JHARKHAND,1658,907,59,1050,1423,244,20
KARNATAKA,1636,2225,99,1324,1933,292,419
KERALA,367,676,84,1347,222,71,84
MADHYA PRADESH,2274,2439,141,5076,7833,105,180
MAHARASHTRA,2670,2613,171,3438,3793,885,293
MANIPUR,96,227,5,75,182,0,0
MEGHALAYA,159,115,12,118,179,56,0
MIZORAM,42,22,6,120,7,8,0
NAGALAND,58,56,3,30,37,8,0
ODISHA,1450,2345,32,1978,3073,484,116
PUNJAB,767,864,98,981,1550,32,136
RAJASTHAN,1637,1794,81,3759,5671,64,110
SIKKIM,12,14,2,47,20,1,0
TAMIL NADU,1805,2922,50,455,1746,101,74
TRIPURA,140,79,3,239,126,1,3
UTTAR PRADESH,5150,5223,1412,3467,12361,294,75
UTTARAKHAND,218,171,38,270,691,19,1
WEST BENGAL,2217,7248,342,1466,6110,139,1131
ANDHRA PRADESH,2287,2880,208,2132,1961,91,13
ARUNACHAL PRADESH,57,53,5,71,175,10,2
ASSAM,1343,1044,91,1733,5831,191,12
BIHAR,3178,5981,121,1041,7128,426,59
CHHATTISGARH,929,726,32,1560,2083,106,10
GOA,31,25,7,86,112,4,2
GUJARAT,1150,908,49,503,2108,275,17
HARYANA,1002,859,61,1070,3520,201,106
HIMACHAL PRADESH,106,64,7,244,327,1,0
JAMMU & KASHMIR,133,430,30,296,1153,7,0
JHARKHAND,1536,992,34,1053,1402,211,17
KARNATAKA,1557,2470,82,589,2354,268,455
KERALA,334,587,87,1256,271,92,64
MADHYA PRADESH,2339,2507,132,4391,6778,145,217
MAHARASHTRA,2509,2683,151,4144,8255,784,275
MANIPUR,81,196,0,46,179,0,0
MEGHALAYA,149,113,3,93,212,41,2
MIZORAM,36,24,10,58,15,3,0
NAGALAND,51,60,7,35,85,3,0
ODISHA,1473,2446,26,2251,3236,379,107
PUNJAB,701,884,124,886,1694,25,154
RAJASTHAN,1569,1645,69,3644,5426,68,78
SIKKIM,17,17,2,5,21,0,0
TAMIL NADU,1748,2935,59,421,1603,93,80
TRIPURA,144,89,3,213,152,4,1
UTTAR PRADESH,4732,4897,1338,3025,11999,277,56
UTTARAKHAND,192,199,38,283,757,17,3
WEST BENGAL,2096,9918,328,1199,6115,163,1424
